feature,vif
hla_low_res_6,101.30034087668822
hla_low_res_8,84.96376546635943
hla_high_res_8,59.91786575551739
hla_high_res_6,59.372100581028555
hla_low_res_10,29.55769372272751
hla_high_res_10,21.41831107732992
hla_match_b_low,9.905323797633635
hla_match_drb1_low,9.664921822584146
hla_match_a_low,8.900946735031338
hla_match_c_low,7.857752795649074
hla_match_b_high,7.30959547200678
hla_match_a_high,6.842079121552977
hla_match_c_high,6.269216841027349
hla_match_drb1_high,5.979444587100264
hla_nmdp_6,4.345326229964085
hla_match_dqb1_low,3.6398087947276943
hla_match_dqb1_high,3.446966855876655
age_at_hct,1.1335599838979926
comorbidity_score,1.092504809073811
karnofsky_score,1.0672868814037844
